dataset,algorithm_base,method_id,n,control_s_mean,control_s_std,learning_s_mean,learning_s_std,evaluation_s_mean,evaluation_s_std,control_over_learning_pct_mean,control_over_learning_pct_std,control_over_online_pct_mean,control_over_online_pct_std
core50_nc,agem,max_p_reconstructed,3,0.0,0.0,40.22608848699929,1.5491381708826502,46.239650334998565,2.4667786351197383,0.0,0.0,0.0,0.0
core50_nc,agem,orion_formula,3,0.001541142333735479,5.719039969908399e-05,98.61871871066676,0.3830072654664648,41.82023445933373,0.2715508822552991,0.0015628330599957439,6.192212469062228e-05,0.0010940886138461612,4.443814418806874e-05
core50_nc,er,max_p_reconstructed,3,0.0,0.0,21.97503219600033,0.13982772765772686,43.97172984366625,0.07514290543871296,0.0,0.0,0.0,0.0
core50_nc,er,orion_formula,3,0.00587040599930333,0.00020109147022424905,67.88145227033267,0.1458242456633825,44.14662281399948,0.14979985431604811,0.008647680710560077,0.00027972060038981573,0.005219797059556824,0.0001683838249047213
core50_nc,gem,max_p_reconstructed,3,0.0,0.0,53.612284329000126,3.04207706278113,42.217166931000975,0.8037822001634165,0.0,0.0,0.0,0.0
core50_nc,gem,orion_formula,3,0.0014053303330001654,3.268428015423758e-05,354.21543848666624,5.954371522137135,42.372832202668484,1.4018073269589149,0.0003967432406515067,6.249855758473773e-06,0.00035390597526760106,5.52721420008876e-06
core50_nc,gss,max_p_reconstructed,3,0.0,0.0,31.31884969166701,2.1528331400087897,43.05148048833386,1.1496232011443386,0.0,0.0,0.0,0.0
core50_nc,gss,orion_formula,3,0.0022208830020341943,0.0003685825453525809,232.27507211866518,48.34250200447775,44.6650867753336,0.4433422627848525,0.0010125277131592969,0.00041256945552465256,0.0008357041530378051,0.00030578742900316586
core50_nc,lr,lr_reconstructed,3,0.0,0.0,58.03455921333413,0.3350753567045603,44.70544043466604,0.4144937863304845,0.0,0.0,0.0,0.0
core50_ni,er,max_p_reconstructed,3,0.0,0.0,22.049033524001363,0.006723870245515389,63.81666109600004,0.21470054492156074,0.0,0.0,0.0,0.0
core50_ni,er,orion_formula,3,0.005096242666392452,0.00013546586916000672,83.10408874733396,19.294160819390235,69.36091483100047,8.307802484806068,0.00633585755529437,0.0013217618568850946,0.003402289501236706,0.0005725163649800515
core50_ni,lr,lr_reconstructed,3,0.0,0.0,57.66962465566697,0.5768868886192428,63.835717837000935,0.07841169550859173,0.0,0.0,0.0,0.0
core50_nic,er,max_p_reconstructed,3,0.0,0.0,25.1643638693331,0.07522523450484746,630.5652616860007,2.311574831539896,0.0,0.0,0.0,0.0
core50_nic,er,orion_formula,3,0.311998209002013,0.012242324710763327,79.2770587306674,0.7789256225370703,626.0269365783321,5.215767282251325,0.3936355837961114,0.017942540959377293,0.043944819130901036,0.0018853297559876185
core50_nic,lr,lr_reconstructed,3,0.0,0.0,62.82251427366949,0.12737874206865918,631.0740840323379,2.6686701759239084,0.0,0.0,0.0,0.0
splitcifar10,er,er_static,3,0.0,0.0,20.705583960666747,0.4401239192919035,4.172050902999975,0.005228930779137788,0.0,0.0,0.0,0.0
splitcifar10,er,max_a_reconstructed,3,0.0,0.0,3261.141228788998,155.55447407230923,3.948147687667491,0.04464330821660719,0.0,0.0,0.0,0.0
splitcifar10,er,max_p_reconstructed,3,0.0,0.0,6.970333219333194,0.04029252945257271,4.040710038333448,0.09595826035835849,0.0,0.0,0.0,0.0
splitcifar10,er,orion_formula,3,0.0043202353332768935,8.249146244465345e-05,21.5357757366675,0.13088552758915614,4.201752659333579,0.03301461975359329,0.020059819225008033,0.0002755078983490026,0.01649932715348327,0.00022878025966913828
splitcifar10,lr,lr_reconstructed,3,0.0,0.0,21.33495304099976,0.5531737478114129,4.262606145000063,0.10475706458085866,0.0,0.0,0.0,0.0
splitcifar100,er,max_p_reconstructed,3,0.0,0.0,7.051496295332375,0.04059064625469311,4.017249325666398,0.07502771302070799,0.0,0.0,0.0,0.0
splitcifar100,er,orion_formula,3,0.0044455813332812495,9.984894304110122e-05,22.180841977333483,0.6982454291527594,4.295079520999631,0.15438311916368722,0.020047016445392578,0.0002908154496955335,0.016522001019173498,0.0002361950511360817
splitcifar100,lr,lr_reconstructed,3,0.0,0.0,20.892848942666507,1.2942509467489798,4.311275375666658,0.25434625380836917,0.0,0.0,0.0,0.0
