dataset,method_id,n,p_mean,p_std,s_mean,s_std,t_mean,t_std
core50_nc,lr_reconstructed,3,0.5599629480325109,0.03072677976439159,0.5093781548221349,0.02965842891171964,103.17036514699976,0.4293480949868352
core50_nc,max_p_reconstructed,3,0.3580232787470369,0.010195579968864107,0.6333627002984724,0.009923819256325534,66.36585987833314,0.17530035367503882
core50_nc,orion_formula,3,0.6043094527373458,0.01481869140610192,0.4636238373663699,0.020662797219308734,112.45965883399974,0.240902658522935
core50_ni,lr_reconstructed,3,0.13472642236650953,0.006507448923535357,1.0472103276959632,0.0016823221342716882,121.89197388633329,0.5175718507165589
core50_ni,max_p_reconstructed,3,0.10212650834593376,0.0012027535919367563,1.0111434416335243,0.015109986560731618,86.23914056033345,0.18028026823102625
core50_ni,orion_formula,3,0.16940355480447095,0.0011139834465358218,1.0908904164707776,0.014279934869593142,152.85013466033328,22.528860407831765
core50_nic,lr_reconstructed,3,0.06370471115454493,0.0035739851175124555,1.0000166295305493,0.0028544874852318236,697.8631177536676,2.28030758217376
core50_nic,max_p_reconstructed,3,0.022808566117651828,0.0011310908779138481,1.0054558163826153,0.0009138042057217135,659.8538460403337,1.8502369141355635
core50_nic,orion_formula,3,0.11681004702034946,0.006258295564169645,0.991310262567934,0.015077860059437152,710.0630381199995,4.861867438987315
splitcifar10,er_static,3,0.9701000000000001,0.018898853580751013,0.046555555555555496,0.026660338755376666,25.314223063999787,0.3672923066692128
splitcifar10,lr_reconstructed,3,0.9396,0.02861607939603178,0.10244444444444445,0.03230869622643189,26.049263026666722,0.5455871301812489
splitcifar10,max_p_reconstructed,3,0.58,0.09108329521194686,0.4685185185185185,0.10205632001702969,11.455967715333372,0.10912362170340745
splitcifar10,orion_formula,3,0.9673333333333334,0.01395046793321128,0.051777777777777735,0.020010696727977628,26.183166702333438,0.13394098939784985
splitcifar100,lr_reconstructed,3,0.42446666666666666,0.0025328946988683976,0.5992592592592592,0.0014468166655277111,25.653954428666566,1.2646266733704001
splitcifar100,max_p_reconstructed,3,0.09079999999999999,0.00234236347876811,0.9141111111111111,0.002739739556875075,11.503350315999947,0.02914620883701453
splitcifar100,orion_formula,3,0.47380000000000005,0.008705170877128169,0.5410370370370371,0.012359609424666917,26.913232184999895,0.6955742215681884
