run_id,cell_id,method,dataset,seed,phase,experience_index,start_monotonic_s,end_monotonic_s,duration_s,allocated_current_bytes,allocated_peak_bytes,reserved_current_bytes,reserved_peak_bytes,quota_bytes,external_reservation_bytes,proc_rss_bytes,children_rss_bytes,proc_pss_bytes,swap_used_bytes,sampled_rss_peak_bytes,sampled_children_rss_peak_bytes,sample_interval_s,sample_count,missing_reason,notes
effectiveness_v3_20260918T035236Z_4f0930ef,dev/splitcifar100/eval_batch/eval_splitcifar100_b32/0,eval_splitcifar100_b32,splitcifar100,0,setup,,146466.759295083,146467.940712561,1.1814174779865425,1408512,1408512,2097152,2097152,1073741824,0,1536720896,0,1316562944,0,1532624896,0,0.1,8,,
effectiveness_v3_20260918T035236Z_4f0930ef,dev/splitcifar100/eval_batch/eval_splitcifar100_b32/0,eval_splitcifar100_b32,splitcifar100,0,resource_transition,0,146467.964781182,146467.965214182,0.0004330000083427876,1408512,1408512,2097152,2097152,1073741824,0,1536737280,0,1316575232,0,0,0,0.1,0,no_interval_samples,
effectiveness_v3_20260918T035236Z_4f0930ef,dev/splitcifar100/eval_batch/eval_splitcifar100_b32/0,eval_splitcifar100_b32,splitcifar100,0,training,0,146467.984652942,146473.278196601,5.293543659005081,70750720,95481344,117440512,117440512,1073741824,0,2208595968,0,1988421632,0,2210807808,0,0.1,35,,
effectiveness_v3_20260918T035236Z_4f0930ef,dev/splitcifar100/eval_batch/eval_splitcifar100_b32/0,eval_splitcifar100_b32,splitcifar100,0,evaluation,0,146473.353819757,146473.60965773,0.2558379730035085,70750720,81630720,117440512,117440512,1073741824,0,2257186816,0,2037012480,0,2256158720,0,0.1,2,,
effectiveness_v3_20260918T035250Z_e0948625,dev/splitcifar100/eval_batch/eval_splitcifar100_b8/0,eval_splitcifar100_b8,splitcifar100,0,setup,,146480.78606857,146481.97484268,1.1887741099926643,1408512,1408512,2097152,2097152,1073741824,0,1534808064,0,1314658304,0,1527930880,0,0.1,7,,
effectiveness_v3_20260918T035250Z_e0948625,dev/splitcifar100/eval_batch/eval_splitcifar100_b8/0,eval_splitcifar100_b8,splitcifar100,0,resource_transition,0,146481.996400533,146481.996847533,0.000446999998530373,1408512,1408512,2097152,2097152,1073741824,0,1534836736,0,1314670592,0,0,0,0.1,0,no_interval_samples,
effectiveness_v3_20260918T035250Z_e0948625,dev/splitcifar100/eval_batch/eval_splitcifar100_b8/0,eval_splitcifar100_b8,splitcifar100,0,training,0,146482.016076718,146487.387862028,5.371785310009727,70750720,95481344,117440512,117440512,1073741824,0,2206605312,0,1986430976,0,2208821248,0,0.1,35,,
effectiveness_v3_20260918T035250Z_e0948625,dev/splitcifar100/eval_batch/eval_splitcifar100_b8/0,eval_splitcifar100_b8,splitcifar100,0,evaluation,0,146487.450541193,146487.88532546,0.43478426701040007,70750720,74667520,117440512,117440512,1073741824,0,2253963264,0,2033866752,0,2253950976,0,0.1,3,,
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,setup,,147364.945432505,147365.320093804,0.37466129902168177,1395712,1395712,2097152,2097152,8589934592,0,1348268032,0,1128192000,0,1318567936,0,0.1,1,,
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,resource_transition,0,147365.344939971,147365.345375934,0.00043596301111392677,1395712,1395712,2097152,2097152,8589934592,0,1348370432,0,1128208384,0,0,0,0.1,0,no_interval_samples,
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,training,0,147365.363886629,147393.334588771,27.970702141989022,70712320,95452672,117440512,117440512,8589934592,0,2038312960,0,1818138624,0,2036379648,0,0.1,175,,
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,evaluation,0,147393.398212939,147395.207669954,1.8094570149842184,70712320,114230272,159383552,159383552,8589934592,0,2083991552,0,1863825408,0,2090647552,0,0.1,10,,
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,resource_transition,1,147395.235084519,147395.235556954,0.00047243500011973083,70712320,70712320,159383552,159383552,8589934592,0,2084003840,0,1863833600,0,0,0,0.1,0,no_interval_samples,
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,training,1,147395.286232842,147411.781303322,16.495070480013965,70712320,121897984,159383552,159383552,8589934592,0,2087788544,0,1867614208,0,2087264256,0,0.1,103,,
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,evaluation,1,147411.840248858,147414.776933051,2.936684193002293,70712320,114230272,159383552,159383552,8589934592,0,2092126208,0,1871951872,0,2092367872,0,0.1,17,,
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,resource_transition,2,147414.814528994,147414.815016466,0.00048747198889032006,70712320,70712320,159383552,159383552,8589934592,0,2092126208,0,1871951872,0,0,0,0.1,0,no_interval_samples,
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,training,2,147414.842386049,147428.522740933,13.68035488401074,70712320,121897984,159383552,159383552,8589934592,0,2088415232,0,1868240896,0,2092154880,0,0.1,84,,
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,evaluation,2,147428.603080815,147433.350717227,4.747636412008433,70712320,114230272,159383552,159383552,8589934592,0,2088435712,0,1868261376,0,2095423488,0,0.1,28,,
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,resource_transition,3,147433.391208791,147433.391679486,0.00047069499851204455,70712320,70712320,159383552,159383552,8589934592,0,2088439808,0,1868265472,0,0,0,0.1,0,no_interval_samples,
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,training,3,147433.418825893,147450.974287078,17.555461184994783,70712320,121897984,159383552,159383552,8589934592,0,2096959488,0,1876785152,0,2097717248,0,0.1,109,,
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,evaluation,3,147451.033051496,147456.300778823,5.267727327009197,70712320,114230272,159383552,159383552,8589934592,0,2101641216,0,1881466880,0,2103816192,0,0.1,31,,
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,resource_transition,4,147456.330382184,147456.330835897,0.0004537130007520318,70712320,70712320,159383552,159383552,8589934592,0,2101641216,0,1881466880,0,0,0,0.1,0,no_interval_samples,
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,training,4,147456.359442694,147470.932990509,14.573547815001803,70712320,121897984,159383552,159383552,8589934592,0,2097795072,0,1877620736,0,2101673984,0,0.1,91,,
