cell_id,group,dataset,method,seed,variant,status,run_id,attempt_n,elapsed_s
dev/splitcifar100/quota_scan/quota_splitcifar100_q224/0,quota_scan,splitcifar100,quota_splitcifar100_q224,0,quota_scan,completed,effectiveness_v3_20260918T054644Z_7e5cb9f5,1,
dev/splitcifar100/quota_scan/quota_splitcifar100_q240/0,quota_scan,splitcifar100,quota_splitcifar100_q240,0,quota_scan,completed,effectiveness_v3_20260918T054805Z_038271a2,1,
dev/splitcifar100/quota_scan/quota_splitcifar100_q256/0,quota_scan,splitcifar100,quota_splitcifar100_q256,0,quota_scan,completed,effectiveness_v3_20260918T054930Z_6d7360cb,1,
dev/splitcifar100/quota_scan/quota_splitcifar100_q272/0,quota_scan,splitcifar100,quota_splitcifar100_q272,0,quota_scan,completed,effectiveness_v3_20260918T055051Z_91f34914,1,
dev/core50_nc/q_loose_verify/loose_core50_nc_q320/0,q_loose_verify,core50_nc,loose_core50_nc_q320,0,q_loose_verify,completed,effectiveness_v3_20260918T055222Z_53e5a22d,1,
dev/core50_nc/plugin_loose/plugin_loose_core50_nc_q320/0,plugin_loose,core50_nc,plugin_loose_core50_nc_q320,0,plugin_loose,completed,effectiveness_v3_20260918T055602Z_9b29b8f8,1,
dev/core50_nc/l_cal/lcal_core50_nc_q320_rep0/0,l_cal,core50_nc,lcal_core50_nc_q320_rep0,0,l_cal,completed,effectiveness_v3_20260918T061211Z_f25203dd,1,
dev/core50_nc/l_cal/lcal_core50_nc_q320_rep1/0,l_cal,core50_nc,lcal_core50_nc_q320_rep1,0,l_cal,completed,effectiveness_v3_20260918T061541Z_8747fb0e,1,
dev/core50_nc/static_search_tight/search_tight_core50_nc_b16_r200_q160/0,static_search_tight,core50_nc,search_tight_core50_nc_b16_r200_q160,0,static_search_tight,completed,effectiveness_v3_20260918T061925Z_1158848e,1,
dev/core50_nc/static_search_tight/search_tight_core50_nc_b16_r2000_q160/0,static_search_tight,core50_nc,search_tight_core50_nc_b16_r2000_q160,0,static_search_tight,completed,effectiveness_v3_20260918T062258Z_fb2a4c31,1,
dev/core50_nc/static_search_tight/search_tight_core50_nc_b64_r200_q160/0,static_search_tight,core50_nc,search_tight_core50_nc_b64_r200_q160,0,static_search_tight,cuda_oom,effectiveness_v3_20260918T062624Z_021adce6,1,
dev/core50_nc/static_search_tight/search_tight_core50_nc_b64_r2000_q160/0,static_search_tight,core50_nc,search_tight_core50_nc_b64_r2000_q160,0,static_search_tight,cuda_oom,effectiveness_v3_20260918T062632Z_f14a7bae,1,
dev/core50_nc/static_search_tight/search_tight_core50_nc_b256_r200_q160/0,static_search_tight,core50_nc,search_tight_core50_nc_b256_r200_q160,0,static_search_tight,cuda_oom,effectiveness_v3_20260918T062640Z_1ae47bce,1,
