run_id,identity,status,experiment,dataset,method,seed,P,S,online_s
20260914T132434Z_light24_af70ddf0,f0494e3634f486c1d3ad1649bbb2a1501a8f48cfe38db6ad3d9521b5c5f69661,completed,L_search,core50_nc,er_static,0,0.5322407219662143,0.7670194695957648,78.33739976699871
20260914T132557Z_light24_710d8aea,80328e1c93217e41a7f0fab69d3b547eedb466fca24ec98e9f6cd6f698d95749,completed,L_search,core50_nc,er_static,0,0.5841200737058512,0.48981650912644437,56.169728957996995
20260914T132658Z_light24_af60ce28,3cb4e6725045ba1afff9c9f1e896ca470f5672164b4f69a4d5a247bfb0371f4c,completed,L_search,core50_nc,er_static,0,0.48910892344462886,0.7799517719097435,59.7100478489956
20260914T132802Z_light24_ee14f6e5,5184dc106ce1b6868b7295f35e31bb57993f3accabf66bd03a9e4d4fe5c5b55c,completed,L_search,core50_nc,er_static,0,0.3487780256464992,0.6885662313820717,51.17286529300327
20260914T132858Z_light24_45ccf9e6,5d93f1cf74e6def666b6144ad29f5feb1dbeb64ca4d2635509469c29197246df,completed,L_search,core50_nc,er_static,0,0.3276958668766848,0.7240392822890296,53.83704096900328
20260914T133410Z_light24_d81149fb,4df010fc96a31b828cd6b4f44f40dac96d056ed96c31215dbfbf5f22ff9634ca,completed,L_selected,splitcifar100,limited_search_static,0,0.41690000000000005,0.7236666666666667,25.9439490520017
20260914T133442Z_light24_043611d0,63d411d006d3dcc3d7b3af0da4d96e48ed241d0bf31459692553f008da436be7,completed,L_selected,splitcifar100,limited_search_static,1,0.4051,0.6892222222222222,25.843445582999266
20260914T133513Z_light24_ce839283,ba29cf1148ccee84f71845dad4950bba3536b03d7d57f4d43bddd38c119abe17,completed,L_selected,splitcifar100,limited_search_static,2,0.4448,0.6694444444444445,25.72868644099799
20260914T133544Z_light24_9475fce8,f4d108cf3d4be47be25ca514e20968dccb9eff3b8750380343a6781f0b8a2298,completed,L_selected,core50_nc,limited_search_static,0,0.5228619773401127,0.7508159789035557,113.95032664099563
20260914T133744Z_light24_1a54471b,560c78df7c06108039b92ffc455ff4d4ceb46931adaadca7f311b2229a957cc6,completed,L_selected,core50_nc,limited_search_static,1,0.5233437273416329,0.7116184103302701,111.86142932700022
20260914T133942Z_light24_e0a33448,f24f7b58cd1fccb81f27dc8e34c892d6acb448c1cb90480ff745f1e158d1b9c8,completed,L_selected,core50_nc,limited_search_static,2,0.4916199075653432,0.7704747684274108,111.77745035100088
20260914T134158Z_light24_0922592c,bda7804664a49d6bb58be59c75cd44427b14e886b9d0e2adbe888ad6031c6ea2,cuda_oom,L_budget,splitcifar100,er_static,0,,,
20260914T134206Z_light24_132b5dc1,73ba7f32d6a4e49c8844800c652278c08996517b0360e7f822a7e60155536e4f,cuda_oom,L_budget,splitcifar100,orion_formula,0,,,
20260914T134214Z_light24_b11d30ed,34bb63a91c95c40ae9c151d1ac035f536da8732f3227c2cf923cb108b47bff81,completed,L_budget,splitcifar100,er_static,0,0.4806,0.5335555555555556,26.007139610002923
20260914T134246Z_light24_b81d8cd0,98df5c88e698626b5c2836a216de20622ddeb6e8e6be89cc35d7e572aa32004f,completed,L_budget,splitcifar100,orion_formula,0,0.4624,0.5526666666666666,26.959692037999048
20260914T134319Z_light24_71fe52e2,08ea755952a6caff81a6812ea46edf8915218ec0b619c20463d780a0690d45e5,completed,L_budget,splitcifar100,er_static,0,0.45999999999999996,0.5497777777777778,25.441462495997257
20260914T134350Z_light24_1c4b8eea,37d0210dde2c089bb2742418fae0b89a276051cdcbd986a9be1a72a3ed64b829,completed,L_budget,splitcifar100,orion_formula,0,0.45920000000000005,0.558888888888889,26.528818605998822
20260914T134422Z_light24_bb8d9800,a61d1f5775c401bf5f515a3b7b35b272b6ff507d7a56d25e3824f331d93c0d12,cuda_oom,L_budget,splitcifar100,er_static,1,,,
20260914T134430Z_light24_210bfc3e,3585cde68948d5e7f8a1c2834ea40deffc1f9a1022d6671451b367a264c1200b,cuda_oom,L_budget,splitcifar100,orion_formula,1,,,
20260914T134438Z_light24_e30a2929,8ba734b26f09e9ff96896bcc177908b4548ed44c19d15469600fe9a77cdaa6f9,completed,L_budget,splitcifar100,er_static,1,0.46929999999999994,0.5396666666666667,25.543645156998537
20260914T134510Z_light24_715ec01c,dad7d763c718c10f19639d4f25d36d3fed447af3863d041c13359bbc5d2c4851,completed,L_budget,splitcifar100,orion_formula,1,0.4843,0.5265555555555556,27.427843351993943
20260914T134543Z_light24_eaab1c11,0c32dad40857bed97f4bcba33417549fdb9076520bf77b9a76eb36c279d3785d,completed,L_budget,splitcifar100,er_static,1,0.48100000000000004,0.527,26.079834933996608
20260914T134615Z_light24_67a58776,29a945dad41d7cdc546f0e236c4590b8de5415ad9d351a8ca259222d67ececa0,completed,L_budget,splitcifar100,orion_formula,1,0.46609999999999996,0.5454444444444444,27.067040412002825
20260914T134647Z_light24_898228e4,a5860c2ab03df7bbd9c94981b0f1a2428f3147f83a16751a7d1e912549ccea3c,cuda_oom,L_budget,splitcifar100,er_static,2,,,
20260914T134655Z_light24_ad6fe091,380f61ad3bb883cb53cbe2a28284c24403ea1b7a55107f2beeae286d536b8520,cuda_oom,L_budget,splitcifar100,orion_formula,2,,,
20260914T134703Z_light24_2100696b,8ccf5bd79c65646b8793cd464735e6d2691245bb3f3cd7064b20adbd4530499a,completed,L_budget,splitcifar100,er_static,2,0.47190000000000004,0.5505555555555556,25.62820596399979
20260914T134734Z_light24_244e9187,4146f5a631bff1587ac05a3f8466cd540c609e307cc98d5247251af8ecb3b3b3,completed,L_budget,splitcifar100,orion_formula,2,0.4728,0.5468888888888889,26.82333952600311
20260914T134807Z_light24_e0477c92,8ba4f2b0c8058d3e5886e1eca8484f97af10b876f6c7a42966e42b75459cb789,completed,L_budget,splitcifar100,er_static,2,0.48630000000000007,0.5343333333333333,25.80265320900071
20260914T134838Z_light24_4f3174c7,7b17e9b1e702c8208689c7b3ea640a0e88688e54e8ff172ebf332aa694d48431,completed,L_budget,splitcifar100,orion_formula,2,0.4673999999999999,0.5492222222222222,27.284400819997245
20260914T134911Z_light24_58f9456d,8d710e64f4543bc7fd4959c15a095219d81f87c5e18f125000e088bb9365c3ac,completed,L_preference,core50_nc,orion_formula,0,0.6187063508857787,0.4489917617522179,116.00818460500159
20260914T135113Z_light24_6381134e,82832545599677aba1ffe7b2fa190eca23aaa4b3eba85f90b8c22bbbdacfc192,completed,L_preference,core50_nc,orion_formula,0,0.6092347408873254,0.4610368434169616,110.11814931700064
20260914T135310Z_light24_cff03777,cbe01f3494d2a4fcdb35558062aa85e23be5e679ee0395a18df64d00b8d48e82,completed,L_preference,core50_nc,orion_formula,1,0.6226145167404639,0.4574379877345377,108.23910404599883
20260914T135504Z_light24_e393b8f0,035a0c52918a596c06541f2a86c6518d5f0f9d2b981823bb3de95752585fac99,completed,L_preference,core50_nc,orion_formula,1,0.5953551542642457,0.48263269219276694,110.24051143599354
20260914T135659Z_light24_ba5385fe,15d0a714f5e2dc62bda9e6c9c066c3072b471af22aa7310f63c5f55d771254d3,completed,L_preference,core50_nc,orion_formula,2,0.592199074249662,0.4995270707716617,108.48628653600463
20260914T135854Z_light24_6d1adec2,d63dadb3996577da71d01d161c08ce37c135845b69898993e9623a702b94d01a,completed,L_preference,core50_nc,orion_formula,2,0.6309928417291372,0.459386606186027,109.63508934200217
20260914T140049Z_light24_6c6dd7b2,ca8cbec9ca2911ab70930e4e296bab22962d750a6e729dfb2d01730432489a26,completed,L_prefetch,core50_nc,er_static,0,0.6062514233870816,0.4795712387440123,119.13865810700372
20260914T140254Z_light24_79271486,ede70687c4f875948b111763f04de1a3fe39ee6754d4a511dccb76608d80b56f,completed,L_prefetch,core50_nc,er_static,0,0.6062514233870816,0.4795712387440123,171.74657865599875
20260914T140551Z_light24_84cc10e8,66496eb219238d4caf55c50c5f90332ad33c8af1b65e5d81681174a7307d9965,completed,L_prefetch,core50_nc,er_static,1,0.6158247604622925,0.45344736018516585,126.22885364799731
20260914T140803Z_light24_47b296cd,326733585ff0981c0e4b830f983638ef0076af3e3f45a249ce4b0e5defacd118,completed,L_prefetch,core50_nc,er_static,1,0.6158247604622925,0.45344736018516585,182.39567997500126
20260914T141112Z_light24_ecca3b0e,831ea73914198167eb9ecabb125ddc9146348547eb6f4e60b776061b57c7a216,completed,L_prefetch,core50_nc,er_static,2,0.6205392211705648,0.4656462185896628,131.67796312899736
20260914T141330Z_light24_bc97511c,a4db29c76202421da112e2e3120ef0b830518d48be36944ee2152ec0f2250239,completed,L_prefetch,core50_nc,er_static,2,0.6205392211705648,0.4656462185896628,170.85856464499375
20260914T141627Z_light24_4ea23c88,de29363dbfa9278759b9be1a38d2df49f4c28324a3e7332552ded2afa51f2edb,completed,L_sensitivity,splitcifar100,orion_formula,0,0.4574,0.5547777777777778,26.352228081996145
20260914T141659Z_light24_ac5b26f0,3da18c89d53c5df9e434a7fad3452b39fea381a858200d81991906f51cb2f2da,completed,L_sensitivity,splitcifar100,orion_formula,0,0.46419999999999995,0.5448888888888889,28.64573580599972
20260914T141734Z_light24_876493db,b0cf2d9124553ae8e89f4675be1ed427f2be49c401f1c6c833e7f7b147058eed,completed,L_sensitivity,splitcifar100,orion_formula,1,0.4883,0.5231111111111111,26.02457397100079
20260914T141806Z_light24_0ff94f8d,3d46344bc3a46726642dc63896d6be07a9386a931dad35567f5e8899ba62ae2c,completed,L_sensitivity,splitcifar100,orion_formula,1,0.47319999999999995,0.5343333333333333,26.47521523299656
20260914T141838Z_light24_6832daad,7ead50f05162ec329545421b43811bfb3966dc1bfbc1164220c73c4b6f7d1a41,completed,L_sensitivity,splitcifar100,orion_formula,2,0.48260000000000003,0.5344444444444444,25.42781926900352
20260914T141909Z_light24_87bdbc4e,2388cd304daaa4abad37f474b5b494b0e8954df670a710c7ac7e35f9669ca0f9,completed,L_sensitivity,splitcifar100,orion_formula,2,0.4727,0.5422222222222222,25.83623284799978
20260914T141940Z_light24_5e55f301,5f985d33b5972c9b8436e54cc6d1df72b3d6205659e86d58177c026d4f91ad9e,completed,L_sensitivity,core50_nc,orion_formula,0,0.6081698926330119,0.4567365896137887,118.55159683500096
20260914T142145Z_light24_923a8136,a06695d8cdd479706689df7e8e6a306eade59d09d435d74bb9da13682c82fb8b,completed,L_sensitivity,core50_nc,orion_formula,0,0.6319417891882894,0.43039641160645414,115.86025670199888
20260914T142347Z_light24_02660d03,cef74d163246bc872d363fd4b5ed2870760edcd53c0dece900593116828cb7a3,completed,L_sensitivity,core50_nc,orion_formula,1,0.6245735700479316,0.43526545805857664,117.51668861500366
20260914T142550Z_light24_eb8395b1,e59b919999c5d5e0c526521f6714dd85d55090a73278d89bdde33bda81a814a6,completed,L_sensitivity,core50_nc,orion_formula,1,0.6308482481720736,0.4288942920309655,108.44603037300112
20260914T142745Z_light24_365de998,9a1aa15b11395b5f631dbbef6aa696a4c9eef47482165b2771d4099be43baba3,completed,L_sensitivity,core50_nc,orion_formula,2,0.5847378928691899,0.4944014411996446,108.38275578799949
20260914T142938Z_light24_83ef74d5,31a3b773063e7947f159fa74e571752b0c87e064e4a78251b831e1dc3b6c3f73,completed,L_sensitivity,core50_nc,orion_formula,2,0.5770982778295317,0.5098402243162012,112.22233473300003
20260914T143136Z_light24_4cae5bfa,8733469b1e124d0518a49900c0d98451a37f2673d12556f85bd4a30e95c4959b,completed,L_endless,endless_ic,er_static,0,0.9614446079706335,0.8883013003914576,26.497939335997216
20260914T143208Z_light24_9f9627b7,ced91d53efeca559ae82059961afb0b2d462ecdf1bf9c44d104bef3881ed4281,completed,L_endless,endless_ic,orion_formula,0,0.9925532233684343,0.7912025837305499,16.78104211000027
20260914T143231Z_light24_d5e9bc63,9f26820d044154f3f90a7f06f0043c1037b1ce721eb7a9b55999b2c46951fc30,completed,L_endless,endless_il,er_static,0,0.9885748301919518,1.0034348205549883,91.15488980500231
20260914T143410Z_light24_0d0e3d60,a0866c4e4fb1d9814b32440113425c252b76d9594a17cbc6004f37413863fc1c,completed,L_endless,endless_il,orion_formula,0,0.9916535769662836,0.9957089778943418,86.96747289099585
20260914T143545Z_light24_b1cc561d,c69914bfacba1888c10b402e71e3e30c3c44da0e33d1654cdafe107da274ba93,completed,L_endless,endless_wc,er_static,0,0.9830635799354855,0.9897945261723637,102.64231023199682
20260914T143735Z_light24_0aca7541,7997022596906883a2ae5ea83fcee9949975cd14b7a19cf24bb113f2c918667f,completed,L_endless,endless_wc,orion_formula,0,0.9751749872901894,0.9959537328176744,95.15597624400107
20260914T143919Z_light24_52675fd9,f0c2dbe739afcfdf0d5ea7737738a370a7e7a0bb8efccb4accb29da584a9882f,completed,L_endless,endless_ic,er_static,1,0.9285418873379289,0.8191104490888005,23.019155377995048
20260914T143948Z_light24_207c6986,7388efea17e1ce5dbc5eabdcd8987ad77273c454f388a6f4a70be64f2fe557cb,completed,L_endless,endless_ic,orion_formula,1,0.9779116465863453,0.9184051922950299,19.85098281200044
20260914T144013Z_light24_95276843,4c443bffa73cb92a71ac0cc6185435f1f2160b2ccf81a18d7c25a1cca8b00337,completed,L_endless,endless_il,er_static,1,0.9876768914871155,0.9915279731242423,89.02788569100085
20260914T144148Z_light24_cf6d9622,af9cd333dfb3e7c27fce2c1ffa344dcc20958762b6460099306c92da8f95c3cd,completed,L_endless,endless_il,orion_formula,1,0.9896146629592562,1.0041750300172245,86.90621105000173
20260914T144323Z_light24_c126a852,312df8c3858963fa97c9a8428a44058ca84ae5645590379d5e030e0c495a0abc,completed,L_endless,endless_wc,er_static,1,0.9801153958078587,0.9975447467651937,94.2940101130007
20260914T144506Z_light24_700e06b0,781218e9c4c219069b8939b06067ccd20bab5c6eade1c0bd9070fdec7fb977c0,completed,L_endless,endless_wc,orion_formula,1,0.9830476686328957,1.00129694676799,92.18328011499398
20260914T144647Z_light24_55eeaeb5,e8130dc90e5a770bbf132990e81e4633d2b0686460af9f34fba9db80371c501c,completed,L_endless,endless_ic,er_static,2,0.9998070987654322,0.7595432850603852,24.364133701994433
20260914T144717Z_light24_76c5a728,1c6324f18bf4aedd68db3620579cb962582933a7e23603b585e88ea97b6aa2e5,completed,L_endless,endless_ic,orion_formula,2,0.9737654320987654,0.7969247144106198,16.880510616996617
20260914T144739Z_light24_75b1b87c,c7781613f6ecdbed5bc71726c8238f62d3860530bdf7a75bfc6a722634a4b7b7,completed,L_endless,endless_il,er_static,2,0.9777482811753646,1.0174413948735466,89.80862340800377
20260914T144916Z_light24_fd0e58c6,9710f0dc96f6bfc651f233e47c1cf6c12e6f49a76c1e1bd40902904579a4bd31,completed,L_endless,endless_il,orion_formula,2,0.9890539563214492,1.001529670984049,85.70742733600491
20260914T145050Z_light24_76fd2bf7,92097989112881d388ebbda35783811f422aa44c4e39b9dbd2adff94ac4c6690,completed,L_endless,endless_wc,er_static,2,0.9761768250231352,0.9909699401839333,95.19042542600073
20260914T145233Z_light24_afbc1169,f3b328e74eb2ea9de4c5991562fbb160609a4a965362c2003ac3522de592b2aa,completed,L_endless,endless_wc,orion_formula,2,0.8905676061256551,1.107057440831926,86.76818752899999
