quota_mib,method,n,n_completed,n_oom,P_mean,S_mean,online_s_mean
128.0,er_static,3,0,3,,,
128.0,orion_formula,3,0,3,,,
256.0,er_static,3,3,0,0.4739333333333333,0.5412592592592592,25.726330243667082
256.0,orion_formula,3,3,0,0.4731666666666667,0.542037037037037,27.070291638665367
512.0,er_static,3,3,0,0.4757666666666666,0.5370370370370371,25.774650212998193
512.0,orion_formula,3,3,0,0.4642333333333333,0.5511851851851852,26.9600866126663
