config,experiment,dataset,variant,seed,status,run_id,P,S,online_s
configs/light24/budget/cifar100_er_static_256mib_s0.yaml,L_budget,splitcifar100,cifar100_er_static_256mib,0,completed,20260914T134214Z_light24_b11d30ed,0.4806,0.5335555555555556,26.007139610002923
configs/light24/budget/cifar100_orion_formula_256mib_s0.yaml,L_budget,splitcifar100,cifar100_orion_formula_256mib,0,completed,20260914T134246Z_light24_b81d8cd0,0.4624,0.5526666666666666,26.959692037999048
configs/light24/budget/cifar100_er_static_512mib_s0.yaml,L_budget,splitcifar100,cifar100_er_static_512mib,0,completed,20260914T134319Z_light24_71fe52e2,0.45999999999999996,0.5497777777777778,25.441462495997257
configs/light24/budget/cifar100_orion_formula_512mib_s0.yaml,L_budget,splitcifar100,cifar100_orion_formula_512mib,0,completed,20260914T134350Z_light24_1c4b8eea,0.45920000000000005,0.558888888888889,26.528818605998822
configs/light24/budget/cifar100_er_static_128mib_s1.yaml,L_budget,splitcifar100,cifar100_er_static_128mib,1,cuda_oom,20260914T134422Z_light24_bb8d9800,,,
configs/light24/budget/cifar100_orion_formula_128mib_s1.yaml,L_budget,splitcifar100,cifar100_orion_formula_128mib,1,cuda_oom,20260914T134430Z_light24_210bfc3e,,,
configs/light24/budget/cifar100_er_static_256mib_s1.yaml,L_budget,splitcifar100,cifar100_er_static_256mib,1,completed,20260914T134438Z_light24_e30a2929,0.46929999999999994,0.5396666666666667,25.543645156998537
configs/light24/budget/cifar100_orion_formula_256mib_s1.yaml,L_budget,splitcifar100,cifar100_orion_formula_256mib,1,completed,20260914T134510Z_light24_715ec01c,0.4843,0.5265555555555556,27.427843351993943
configs/light24/budget/cifar100_er_static_512mib_s1.yaml,L_budget,splitcifar100,cifar100_er_static_512mib,1,completed,20260914T134543Z_light24_eaab1c11,0.48100000000000004,0.527,26.079834933996608
configs/light24/budget/cifar100_orion_formula_512mib_s1.yaml,L_budget,splitcifar100,cifar100_orion_formula_512mib,1,completed,20260914T134615Z_light24_67a58776,0.46609999999999996,0.5454444444444444,27.067040412002825
configs/light24/budget/cifar100_er_static_128mib_s2.yaml,L_budget,splitcifar100,cifar100_er_static_128mib,2,cuda_oom,20260914T134647Z_light24_898228e4,,,
configs/light24/budget/cifar100_orion_formula_128mib_s2.yaml,L_budget,splitcifar100,cifar100_orion_formula_128mib,2,cuda_oom,20260914T134655Z_light24_ad6fe091,,,
configs/light24/budget/cifar100_er_static_256mib_s2.yaml,L_budget,splitcifar100,cifar100_er_static_256mib,2,completed,20260914T134703Z_light24_2100696b,0.47190000000000004,0.5505555555555556,25.62820596399979
configs/light24/budget/cifar100_orion_formula_256mib_s2.yaml,L_budget,splitcifar100,cifar100_orion_formula_256mib,2,completed,20260914T134734Z_light24_244e9187,0.4728,0.5468888888888889,26.82333952600311
configs/light24/budget/cifar100_er_static_512mib_s2.yaml,L_budget,splitcifar100,cifar100_er_static_512mib,2,completed,20260914T134807Z_light24_e0477c92,0.48630000000000007,0.5343333333333333,25.80265320900071
configs/light24/budget/cifar100_orion_formula_512mib_s2.yaml,L_budget,splitcifar100,cifar100_orion_formula_512mib,2,completed,20260914T134838Z_light24_4f3174c7,0.4673999999999999,0.5492222222222222,27.284400819997245
