run_id,cell_id,method,dataset,seed,t,controller,reason,urge,thr,factors,mb_before,mr_before,mb_next,mr_next,suggested_new_batch,suggested_replay,suggested_optimizer_mode,plugin_policy,applied_new_batch,applied_replay,applied_optimizer_mode,applied_optional_plugins,replay_requested,replay_occupancy,replay_max_size,predicted_bytes,limit_bytes,guard_reason,enforcement,controller_s,reconfigure_s,plasticity,stability,latency_s,memory_mib,memory_mib_model,plugins,applied
effectiveness_v3_20260918T124042Z_48203b04,A/core50_nc/tight/S0/0/default,S0,core50_nc,0,0,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T124042Z_48203b04,A/core50_nc/tight/S0/0/default,S0,core50_nc,0,1,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T124042Z_48203b04,A/core50_nc/tight/S0/0/default,S0,core50_nc,0,2,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T124042Z_48203b04,A/core50_nc/tight/S0/0/default,S0,core50_nc,0,3,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T124042Z_48203b04,A/core50_nc/tight/S0/0/default,S0,core50_nc,0,4,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T124042Z_48203b04,A/core50_nc/tight/S0/0/default,S0,core50_nc,0,5,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T124042Z_48203b04,A/core50_nc/tight/S0/0/default,S0,core50_nc,0,6,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T124042Z_48203b04,A/core50_nc/tight/S0/0/default,S0,core50_nc,0,7,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T124042Z_48203b04,A/core50_nc/tight/S0/0/default,S0,core50_nc,0,8,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T124542Z_e661f745,A/core50_nc/tight/S_star/0/default,S_star,core50_nc,0,0,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T124542Z_e661f745,A/core50_nc/tight/S_star/0/default,S_star,core50_nc,0,1,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T124542Z_e661f745,A/core50_nc/tight/S_star/0/default,S_star,core50_nc,0,2,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T124542Z_e661f745,A/core50_nc/tight/S_star/0/default,S_star,core50_nc,0,3,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T124542Z_e661f745,A/core50_nc/tight/S_star/0/default,S_star,core50_nc,0,4,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T124542Z_e661f745,A/core50_nc/tight/S_star/0/default,S_star,core50_nc,0,5,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T124542Z_e661f745,A/core50_nc/tight/S_star/0/default,S_star,core50_nc,0,6,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T124542Z_e661f745,A/core50_nc/tight/S_star/0/default,S_star,core50_nc,0,7,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T124542Z_e661f745,A/core50_nc/tight/S_star/0/default,S_star,core50_nc,0,8,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T125033Z_0169998d,A/core50_nc/tight/O00/0/default,O00,core50_nc,0,0,,,0.1543569578400416,0.05,"{""factor_p"": 0.5009139042418951, ""factor_s"": 0.46879062662624377, ""factor_l"": 0.6573311362456828, ""factor_m"": 1.0, ""urge"": 0.1543569578400416}",16.0,200.0,16.166971132544067,204.17427831360166,16,204,advanced,adaptive,16,204,advanced,"{""gem"": true, ""ewc"": true}",204,200,204,,167772160,ok,device_allocator_enforced,0.00024054700043052435,0.00030335201881825924,0.48537751584565775,1.0,32.605693340010475,91.03076171875,91.03076171875,"{""gem"": true, ""ewc"": true}",
effectiveness_v3_20260918T125033Z_0169998d,A/core50_nc/tight/O00/0/default,O00,core50_nc,0,1,,,0.19649559822087964,0.05,"{""factor_p"": 0.4928899958826709, ""factor_s"": 0.4817820869569896, ""factor_l"": 0.8274698412577853, ""factor_m"": 1.0, ""urge"": 0.19649559822087964}",16.166971132544067,204.17427831360166,16.40381014329224,210.15640492217514,16,210,advanced,adaptive,16,210,advanced,"{""gem"": true, ""ewc"": true}",210,204,210,,167772160,ok,device_allocator_enforced,0.00032450901926495135,0.000695555005222559,0.6137677345635407,0.7916157011008562,36.27120242599631,116.2509765625,116.2509765625,"{""gem"": true, ""ewc"": true}",
effectiveness_v3_20260918T125201Z_602c23ec,A/core50_nc/tight/O10/0/default,O10,core50_nc,0,0,,,0.2316570285049819,0.05,"{""factor_p"": 0.5024567521627066, ""factor_s"": 0.46879062662624377, ""factor_l"": 0.983485304696314, ""factor_m"": 1.0, ""urge"": 0.2316570285049819}",16.0,200.0,16.29065124560797,207.26628114019928,16,207,advanced,adaptive,16,207,advanced,"{""gem"": true, ""ewc"": true}",207,200,207,,167772160,ok,device_allocator_enforced,0.0002314999874215573,0.00031527801183983684,0.4606916490603803,1.0,32.21909892998519,91.03076171875,91.03076171875,"{""gem"": true, ""ewc"": true}",
effectiveness_v3_20260918T125201Z_602c23ec,A/core50_nc/tight/O10/0/default,O10,core50_nc,0,1,,,0.2337074723842324,0.05,"{""factor_p"": 0.49503069086101686, ""factor_s"": 0.47579523268322893, ""factor_l"": 0.9922483538287097, ""factor_m"": 1.0, ""urge"": 0.2337074723842324}",16.29065124560797,207.26628114019928,16.589922681990338,214.8815540639484,16,214,advanced,adaptive,16,214,advanced,"{""gem"": true, ""ewc"": true}",214,207,214,,167772160,ok,device_allocator_enforced,0.00032969500171020627,0.0006962499755900353,0.5795115642409799,0.887579228288669,35.27996339299716,116.2509765625,116.2509765625,"{""gem"": true, ""ewc"": true}",
