run_id,cell_id,method,dataset,seed,experience,phase,optional_plugins,plugin_state_bytes
effectiveness_v3_20260918T124042Z_48203b04,A/core50_nc/tight/S0/0/default,S0,core50_nc,0,0,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T124042Z_48203b04,A/core50_nc/tight/S0/0/default,S0,core50_nc,0,1,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T124042Z_48203b04,A/core50_nc/tight/S0/0/default,S0,core50_nc,0,2,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T124042Z_48203b04,A/core50_nc/tight/S0/0/default,S0,core50_nc,0,3,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T124042Z_48203b04,A/core50_nc/tight/S0/0/default,S0,core50_nc,0,4,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T124042Z_48203b04,A/core50_nc/tight/S0/0/default,S0,core50_nc,0,5,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T124042Z_48203b04,A/core50_nc/tight/S0/0/default,S0,core50_nc,0,6,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T124042Z_48203b04,A/core50_nc/tight/S0/0/default,S0,core50_nc,0,7,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T124042Z_48203b04,A/core50_nc/tight/S0/0/default,S0,core50_nc,0,8,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T124542Z_e661f745,A/core50_nc/tight/S_star/0/default,S_star,core50_nc,0,0,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T124542Z_e661f745,A/core50_nc/tight/S_star/0/default,S_star,core50_nc,0,1,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T124542Z_e661f745,A/core50_nc/tight/S_star/0/default,S_star,core50_nc,0,2,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T124542Z_e661f745,A/core50_nc/tight/S_star/0/default,S_star,core50_nc,0,3,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T124542Z_e661f745,A/core50_nc/tight/S_star/0/default,S_star,core50_nc,0,4,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T124542Z_e661f745,A/core50_nc/tight/S_star/0/default,S_star,core50_nc,0,5,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T124542Z_e661f745,A/core50_nc/tight/S_star/0/default,S_star,core50_nc,0,6,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T124542Z_e661f745,A/core50_nc/tight/S_star/0/default,S_star,core50_nc,0,7,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T124542Z_e661f745,A/core50_nc/tight/S_star/0/default,S_star,core50_nc,0,8,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T125033Z_0169998d,A/core50_nc/tight/O00/0/default,O00,core50_nc,0,0,training,"[{""name"": ""gem"", ""enabled"": false, ""inner"": ""SparseGEMPlugin"", ""before_backward"": 0, ""after_training_exp"": 0, ""gem_reference_samples"": 0, ""ewc_extra_forward_visits"": 0, ""enabled_history"": [false]}, {""name"": ""ewc"", ""enabled"": false, ""inner"": ""EWCPlugin"", ""before_backward"": 0, ""after_training_exp"": 0, ""gem_reference_samples"": null, ""ewc_extra_forward_visits"": null, ""enabled_history"": [false]}]","{'SparseGEMPlugin': 0, 'EWCPlugin': 0, 'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T125033Z_0169998d,A/core50_nc/tight/O00/0/default,O00,core50_nc,0,1,training,"[{""name"": ""gem"", ""enabled"": true, ""inner"": ""SparseGEMPlugin"", ""before_backward"": 750, ""after_training_exp"": 1, ""gem_reference_samples"": 50, ""ewc_extra_forward_visits"": 0, ""enabled_history"": [true]}, {""name"": ""ewc"", ""enabled"": true, ""inner"": ""EWCPlugin"", ""before_backward"": 750, ""after_training_exp"": 1, ""gem_reference_samples"": null, ""ewc_extra_forward_visits"": null, ""enabled_history"": [true]}]","{'SparseGEMPlugin': 615200, 'EWCPlugin': 2178576, 'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
