cell_id,group,dataset,method,seed,variant,status,run_id,attempt_n,elapsed_s
A/core50_nc/tight/S0/0/default,A,core50_nc,S0,0,default,completed,effectiveness_v3_20260918T124042Z_48203b04,1,299.8874999030086
A/core50_nc/tight/S_star/0/default,A,core50_nc,S_star,0,default,completed,effectiveness_v3_20260918T124542Z_e661f745,1,291.41447683799197
A/core50_nc/tight/O00/0/default,A,core50_nc,O00,0,default,cuda_oom,effectiveness_v3_20260918T125033Z_0169998d,1,87.379712355003
A/core50_nc/tight/O10/0/default,A,core50_nc,O10,0,default,cuda_oom,effectiveness_v3_20260918T125201Z_602c23ec,1,86.46993644500617
A/core50_nc/tight/O01/0/default,A,core50_nc,O01,0,default,cuda_oom,effectiveness_v3_20260918T125327Z_307ffa7d,1,85.95850813901052
A/core50_nc/tight/O11/0/default,A,core50_nc,O11,0,default,cuda_oom,effectiveness_v3_20260918T125453Z_e468c444,1,88.59930309301126
A/core50_nc/tight/R11/0/default,A,core50_nc,R11,0,default,completed,effectiveness_v3_20260918T125622Z_5cc2c4e7,1,284.2984763220011
A/core50_nc/tight/F11/0/default,A,core50_nc,F11,0,default,cuda_oom,effectiveness_v3_20260918T130106Z_37d309d9,1,75.09136789100012
A/core50_nc/tight/S_star/1/default,A,core50_nc,S_star,1,default,completed,effectiveness_v3_20260918T130221Z_60c895a2,1,295.4818963090074
A/core50_nc/tight/O00/1/default,A,core50_nc,O00,1,default,cuda_oom,effectiveness_v3_20260918T130717Z_c1ab5a21,1,88.25191129598534
A/core50_nc/tight/O10/1/default,A,core50_nc,O10,1,default,cuda_oom,effectiveness_v3_20260918T130845Z_09b114c7,1,89.17774877499323
A/core50_nc/tight/O01/1/default,A,core50_nc,O01,1,default,cuda_oom,effectiveness_v3_20260918T131014Z_b09fde4a,1,86.84958734601969
A/core50_nc/tight/O11/1/default,A,core50_nc,O11,1,default,cuda_oom,effectiveness_v3_20260918T131141Z_97cbc12a,1,86.36047942601726
A/core50_nc/tight/R11/1/default,A,core50_nc,R11,1,default,completed,effectiveness_v3_20260918T131308Z_e7f97314,1,289.3409851400065
A/core50_nc/tight/F11/1/default,A,core50_nc,F11,1,default,cuda_oom,effectiveness_v3_20260918T131757Z_e471a404,1,79.94730710700969
A/core50_nc/tight/S0/1/default,A,core50_nc,S0,1,default,completed,effectiveness_v3_20260918T131917Z_45192821,1,285.6062338529737
A/core50_nc/tight/O00/2/default,A,core50_nc,O00,2,default,cuda_oom,effectiveness_v3_20260918T132403Z_30b2b6d9,1,88.79284015900339
A/core50_nc/tight/O10/2/default,A,core50_nc,O10,2,default,cuda_oom,effectiveness_v3_20260918T132532Z_ffb79b97,1,86.10871387599036
A/core50_nc/tight/O01/2/default,A,core50_nc,O01,2,default,cuda_oom,effectiveness_v3_20260918T132658Z_2cba89e4,1,88.1066095290007
A/core50_nc/tight/O11/2/default,A,core50_nc,O11,2,default,cuda_oom,effectiveness_v3_20260918T132826Z_dafb140a,1,88.44617137298337
A/core50_nc/tight/R11/2/default,A,core50_nc,R11,2,default,completed,effectiveness_v3_20260918T132954Z_7351c595,1,297.47864553300315
A/core50_nc/tight/F11/2/default,A,core50_nc,F11,2,default,cuda_oom,effectiveness_v3_20260918T133452Z_f09920d9,1,78.40254482300952
A/core50_nc/tight/S0/2/default,A,core50_nc,S0,2,default,completed,effectiveness_v3_20260918T133610Z_461128c7,1,294.17493611297687
A/core50_nc/tight/S_star/2/default,A,core50_nc,S_star,2,default,completed,effectiveness_v3_20260918T134105Z_8816285b,1,302.8995697289938
A/splitcifar100/tight/S0/0/default,A,splitcifar100,S0,0,default,completed,effectiveness_v3_20260918T134607Z_d44ef855,1,98.37468329700641
A/splitcifar100/tight/S_star/0/default,A,splitcifar100,S_star,0,default,completed,effectiveness_v3_20260918T134746Z_6c651fb4,1,98.09518364598625
A/splitcifar100/tight/O00/0/default,A,splitcifar100,O00,0,default,completed,effectiveness_v3_20260918T134924Z_a57461cc,1,103.1153906340187
A/splitcifar100/tight/O10/0/default,A,splitcifar100,O10,0,default,cuda_oom,effectiveness_v3_20260918T135107Z_986b52f6,1,29.94040563001181
A/splitcifar100/tight/O01/0/default,A,splitcifar100,O01,0,default,completed,effectiveness_v3_20260918T135137Z_c1fc1ed7,1,102.46930120000616
A/splitcifar100/tight/O11/0/default,A,splitcifar100,O11,0,default,cuda_oom,effectiveness_v3_20260918T135320Z_a44d2b26,1,30.534140584000852
A/splitcifar100/tight/R11/0/default,A,splitcifar100,R11,0,default,completed,effectiveness_v3_20260918T135350Z_94fffae9,1,99.08313831599662
A/splitcifar100/tight/F11/0/default,A,splitcifar100,F11,0,default,cuda_oom,effectiveness_v3_20260918T135529Z_f109dbc3,1,21.91392146999715
