group,dataset,seed,quota_bytes,variant,left,right,left_run_id,right_run_id,left_status,right_status,pairing_ok,pairing_error,both_completed,d_P,d_S,d_online_s
B,core50_nc,1,335544320,default,O11,R11,effectiveness_v3_20260918T151027Z_6f26f3e9,effectiveness_v3_20260918T152559Z_d84362b8,completed,completed,True,,True,-0.2867292391147274,0.17403767044777718,643.6731068009976
B,core50_nc,2,335544320,default,O11,R11,effectiveness_v3_20260918T155534Z_4df370ae,effectiveness_v3_20260918T161132Z_0b332220,completed,completed,True,,True,-0.34748134822596644,0.23679141080656374,678.6441446659737
B,splitcifar100,0,335544320,default,O11,R11,effectiveness_v3_20260918T164819Z_1eaa0e7b,effectiveness_v3_20260918T165443Z_1c14c05b,completed,completed,True,,True,-0.27709999999999996,0.25844444444444437,287.8338591080392
B,splitcifar100,1,335544320,default,O11,R11,effectiveness_v3_20260918T170519Z_efdcf21c,effectiveness_v3_20260918T171142Z_552f5e4f,completed,completed,True,,True,-0.27860000000000007,0.26888888888888896,284.3801010120078
B,splitcifar100,2,335544320,default,O11,R11,effectiveness_v3_20260918T172216Z_c03835a6,effectiveness_v3_20260918T172828Z_112e26f9,completed,completed,True,,True,-0.26170000000000004,0.23099999999999998,274.2934901030094
A,core50_nc,0,167772160,default,O11,F11,effectiveness_v3_20260918T125453Z_e468c444,effectiveness_v3_20260918T130106Z_37d309d9,cuda_oom,cuda_oom,True,,False,,,
A,core50_nc,1,167772160,default,O11,F11,effectiveness_v3_20260918T131141Z_97cbc12a,effectiveness_v3_20260918T131757Z_e471a404,cuda_oom,cuda_oom,True,,False,,,
A,core50_nc,2,167772160,default,O11,F11,effectiveness_v3_20260918T132826Z_dafb140a,effectiveness_v3_20260918T133452Z_f09920d9,cuda_oom,cuda_oom,True,,False,,,
A,splitcifar100,0,167772160,default,O11,F11,effectiveness_v3_20260918T135320Z_a44d2b26,effectiveness_v3_20260918T135529Z_f109dbc3,cuda_oom,cuda_oom,True,,False,,,
A,splitcifar100,1,167772160,default,O11,F11,effectiveness_v3_20260918T140124Z_09059880,effectiveness_v3_20260918T140331Z_47023b0d,cuda_oom,cuda_oom,True,,False,,,
A,splitcifar100,2,167772160,default,O11,F11,effectiveness_v3_20260918T140924Z_0b422fc2,effectiveness_v3_20260918T141131Z_aba3f441,cuda_oom,cuda_oom,True,,False,,,
B,core50_nc,0,335544320,default,O11,F11,effectiveness_v3_20260918T142454Z_e358987c,effectiveness_v3_20260918T144620Z_be1c54a2,completed,completed,True,,True,0.01905628340036153,-0.0214383188254067,-156.88250795801287
B,core50_nc,1,335544320,default,O11,F11,effectiveness_v3_20260918T151027Z_6f26f3e9,effectiveness_v3_20260918T153047Z_64a88b5a,completed,completed,True,,True,0.265372681527371,-0.2985442667182924,-263.0102866520174
B,core50_nc,2,335544320,default,O11,F11,effectiveness_v3_20260918T155534Z_4df370ae,effectiveness_v3_20260918T161611Z_22479fed,completed,completed,True,,True,0.08446487833763366,-0.0950229881298379,-207.81051383298473
B,splitcifar100,0,335544320,default,O11,F11,effectiveness_v3_20260918T164819Z_1eaa0e7b,effectiveness_v3_20260918T165619Z_636a0335,completed,completed,True,,True,0.056800000000000045,-0.06311111111111112,-58.29100159095833
B,splitcifar100,1,335544320,default,O11,F11,effectiveness_v3_20260918T170519Z_efdcf21c,effectiveness_v3_20260918T171321Z_0b9d1439,completed,completed,True,,True,-0.0204,0.022666666666666724,-53.51702852398739
B,splitcifar100,2,335544320,default,O11,F11,effectiveness_v3_20260918T172216Z_c03835a6,effectiveness_v3_20260918T173006Z_a240ced0,completed,completed,True,,True,0.05979999999999999,-0.06644444444444442,-62.12210022599902
A,core50_nc,0,167772160,default,O11,O00,effectiveness_v3_20260918T125453Z_e468c444,effectiveness_v3_20260918T125033Z_0169998d,cuda_oom,cuda_oom,True,,False,,,
A,core50_nc,1,167772160,default,O11,O00,effectiveness_v3_20260918T131141Z_97cbc12a,effectiveness_v3_20260918T130717Z_c1ab5a21,cuda_oom,cuda_oom,True,,False,,,
A,core50_nc,2,167772160,default,O11,O00,effectiveness_v3_20260918T132826Z_dafb140a,effectiveness_v3_20260918T132403Z_30b2b6d9,cuda_oom,cuda_oom,True,,False,,,
A,splitcifar100,0,167772160,default,O11,O00,effectiveness_v3_20260918T135320Z_a44d2b26,effectiveness_v3_20260918T134924Z_a57461cc,cuda_oom,completed,True,,False,,,
A,splitcifar100,1,167772160,default,O11,O00,effectiveness_v3_20260918T140124Z_09059880,effectiveness_v3_20260918T135730Z_5faec831,cuda_oom,completed,True,,False,,,
A,splitcifar100,2,167772160,default,O11,O00,effectiveness_v3_20260918T140924Z_0b422fc2,effectiveness_v3_20260918T140531Z_c2ff5b17,cuda_oom,completed,True,,False,,,
A,core50_nc,0,167772160,default,O11,O10,effectiveness_v3_20260918T125453Z_e468c444,effectiveness_v3_20260918T125201Z_602c23ec,cuda_oom,cuda_oom,True,,False,,,
A,core50_nc,1,167772160,default,O11,O10,effectiveness_v3_20260918T131141Z_97cbc12a,effectiveness_v3_20260918T130845Z_09b114c7,cuda_oom,cuda_oom,True,,False,,,
A,core50_nc,2,167772160,default,O11,O10,effectiveness_v3_20260918T132826Z_dafb140a,effectiveness_v3_20260918T132532Z_ffb79b97,cuda_oom,cuda_oom,True,,False,,,
A,splitcifar100,0,167772160,default,O11,O10,effectiveness_v3_20260918T135320Z_a44d2b26,effectiveness_v3_20260918T135107Z_986b52f6,cuda_oom,cuda_oom,True,,False,,,
A,splitcifar100,1,167772160,default,O11,O10,effectiveness_v3_20260918T140124Z_09059880,effectiveness_v3_20260918T135911Z_c0a10258,cuda_oom,cuda_oom,True,,False,,,
A,splitcifar100,2,167772160,default,O11,O10,effectiveness_v3_20260918T140924Z_0b422fc2,effectiveness_v3_20260918T140711Z_a8920eca,cuda_oom,cuda_oom,True,,False,,,
A,core50_nc,0,167772160,default,O11,O01,effectiveness_v3_20260918T125453Z_e468c444,effectiveness_v3_20260918T125327Z_307ffa7d,cuda_oom,cuda_oom,True,,False,,,
A,core50_nc,1,167772160,default,O11,O01,effectiveness_v3_20260918T131141Z_97cbc12a,effectiveness_v3_20260918T131014Z_b09fde4a,cuda_oom,cuda_oom,True,,False,,,
A,core50_nc,2,167772160,default,O11,O01,effectiveness_v3_20260918T132826Z_dafb140a,effectiveness_v3_20260918T132658Z_2cba89e4,cuda_oom,cuda_oom,True,,False,,,
A,splitcifar100,0,167772160,default,O11,O01,effectiveness_v3_20260918T135320Z_a44d2b26,effectiveness_v3_20260918T135137Z_c1fc1ed7,cuda_oom,completed,True,,False,,,
A,splitcifar100,1,167772160,default,O11,O01,effectiveness_v3_20260918T140124Z_09059880,effectiveness_v3_20260918T135941Z_a26de010,cuda_oom,completed,True,,False,,,
A,splitcifar100,2,167772160,default,O11,O01,effectiveness_v3_20260918T140924Z_0b422fc2,effectiveness_v3_20260918T140741Z_abeddeaf,cuda_oom,completed,True,,False,,,
