run_id,cell_id,method,dataset,seed,phase,experience_index,start_monotonic_s,end_monotonic_s,duration_s,allocated_current_bytes,allocated_peak_bytes,reserved_current_bytes,reserved_peak_bytes,quota_bytes,external_reservation_bytes,proc_rss_bytes,children_rss_bytes,proc_pss_bytes,swap_used_bytes,sampled_rss_peak_bytes,sampled_children_rss_peak_bytes,sample_interval_s,sample_count,missing_reason,notes
effectiveness_v3_20260918T124042Z_48203b04,A/core50_nc/tight/S0/0/default,S0,core50_nc,0,setup,,178152.97526249,178154.482851673,1.5075891829910688,1395712,1395712,2097152,2097152,167772160,0,1577373696,0,1357143040,0,0,0,0.1,0,no_interval_samples,
effectiveness_v3_20260918T124042Z_48203b04,A/core50_nc/tight/S0/0/default,S0,core50_nc,0,resource_transition,0,178154.506656831,178154.507061063,0.0004042319778818637,1395712,1395712,2097152,2097152,167772160,0,1577377792,0,1357143040,0,0,0,0.1,0,no_interval_samples,
effectiveness_v3_20260918T124042Z_48203b04,A/core50_nc/tight/S0/0/default,S0,core50_nc,0,training,0,178154.528604258,178188.409289423,33.880685165000614,70712320,95452672,117440512,117440512,167772160,0,2072043520,0,1851808768,0,2067812352,0,0.1,213,,
effectiveness_v3_20260918T124042Z_48203b04,A/core50_nc/tight/S0/0/default,S0,core50_nc,0,evaluation,0,178188.475012264,178192.581706877,4.106694613001309,70712320,114230272,159383552,159383552,167772160,0,2117754880,0,1897520128,0,2123427840,0,0.1,24,,
effectiveness_v3_20260918T124042Z_48203b04,A/core50_nc/tight/S0/0/default,S0,core50_nc,0,resource_transition,1,178192.609585461,178192.610051285,0.00046582400682382286,70712320,70712320,159383552,159383552,167772160,0,2117754880,0,1897520128,0,0,0,0.1,0,no_interval_samples,
effectiveness_v3_20260918T124042Z_48203b04,A/core50_nc/tight/S0/0/default,S0,core50_nc,0,training,1,178192.636421637,178212.075935108,19.43951347100665,70712320,121897984,159383552,159383552,167772160,0,2121367552,0,1901132800,0,2120519680,0,0.1,120,,
effectiveness_v3_20260918T124042Z_48203b04,A/core50_nc/tight/S0/0/default,S0,core50_nc,0,evaluation,1,178212.135298998,178217.827951769,5.692652770987479,70712320,114230272,159383552,159383552,167772160,0,2123546624,0,1903311872,0,2126946304,0,0.1,34,,
effectiveness_v3_20260918T124042Z_48203b04,A/core50_nc/tight/S0/0/default,S0,core50_nc,0,resource_transition,2,178217.855276112,178217.855721195,0.00044508298742584884,70712320,70712320,159383552,159383552,167772160,0,2123546624,0,1903311872,0,0,0,0.1,0,no_interval_samples,
effectiveness_v3_20260918T124042Z_48203b04,A/core50_nc/tight/S0/0/default,S0,core50_nc,0,training,2,178217.881529574,178237.413741422,19.532211848010775,70712320,121897984,159383552,159383552,167772160,0,2130460672,0,1910225920,0,2130227200,0,0.1,121,,
effectiveness_v3_20260918T124042Z_48203b04,A/core50_nc/tight/S0/0/default,S0,core50_nc,0,evaluation,2,178237.47684335,178245.136861485,7.6600181349786,70712320,114230272,159383552,159383552,167772160,0,2134171648,0,1913936896,0,2135764992,0,0.1,45,,
