run_id,cell_id,method,dataset,seed,experience_index,learning_s,prefetch_produce_s,prefetch_wait_s,blocked_s,prefetch_enabled,supply_wait_ratio
effectiveness_v3_20260918T125622Z_5cc2c4e7,A/core50_nc/tight/R11/0/default,R11,core50_nc,0,2,19.68153787299525,10.94076675985707,0.0,10.94076675985707,False,0.5558898308891165
effectiveness_v3_20260918T125622Z_5cc2c4e7,A/core50_nc/tight/R11/0/default,R11,core50_nc,0,3,18.498134141002083,10.281009539001388,0.0,10.281009539001388,False,0.5557863004254571
effectiveness_v3_20260918T125622Z_5cc2c4e7,A/core50_nc/tight/R11/0/default,R11,core50_nc,0,4,14.202882465993753,8.168211861979216,0.0,8.168211861979216,False,0.5751094456731956
effectiveness_v3_20260918T125622Z_5cc2c4e7,A/core50_nc/tight/R11/0/default,R11,core50_nc,0,5,16.179064402007498,9.278412089101039,0.0,9.278412089101039,False,0.573482610524115
effectiveness_v3_20260918T125622Z_5cc2c4e7,A/core50_nc/tight/R11/0/default,R11,core50_nc,0,6,18.836878587986575,10.381705046980642,0.0,10.381705046980642,False,0.5511372278845439
effectiveness_v3_20260918T125622Z_5cc2c4e7,A/core50_nc/tight/R11/0/default,R11,core50_nc,0,7,19.059233742998913,10.414685166906565,0.0,10.414685166906565,False,0.5464377690804187
effectiveness_v3_20260918T125622Z_5cc2c4e7,A/core50_nc/tight/R11/0/default,R11,core50_nc,0,8,16.196635776985204,9.391959302243777,0.0,9.391959302243777,False,0.5798709949129923
effectiveness_v3_20260918T130106Z_37d309d9,A/core50_nc/tight/F11/0/default,F11,core50_nc,0,0,62.22289381700102,12.002778470196063,0.0,12.002778470196063,False,0.1928997147817733
effectiveness_v3_20260918T130221Z_60c895a2,A/core50_nc/tight/S_star/1/default,S_star,core50_nc,1,0,32.32569309300743,13.781437094381545,0.0,13.781437094381545,False,0.42633075351948735
effectiveness_v3_20260918T130221Z_60c895a2,A/core50_nc/tight/S_star/1/default,S_star,core50_nc,1,1,16.96011223999085,9.72520401206566,0.0,9.72520401206566,False,0.5734162530560534
effectiveness_v3_20260918T130221Z_60c895a2,A/core50_nc/tight/S_star/1/default,S_star,core50_nc,1,2,18.594875709008193,10.377831723046256,0.0,10.377831723046256,False,0.5581016988469985
effectiveness_v3_20260918T130221Z_60c895a2,A/core50_nc/tight/S_star/1/default,S_star,core50_nc,1,3,19.885411021008622,10.795685440767556,0.0,10.795685440767556,False,0.5428947598499264
effectiveness_v3_20260918T130221Z_60c895a2,A/core50_nc/tight/S_star/1/default,S_star,core50_nc,1,4,18.416630894993432,10.199779312708415,0.0,10.199779312708415,False,0.5538352465695139
effectiveness_v3_20260918T130221Z_60c895a2,A/core50_nc/tight/S_star/1/default,S_star,core50_nc,1,5,19.470248733006883,10.834768570959568,0.0,10.834768570959568,False,0.5564781795823676
effectiveness_v3_20260918T130221Z_60c895a2,A/core50_nc/tight/S_star/1/default,S_star,core50_nc,1,6,19.5411318000115,10.986005001730518,0.0,10.986005001730518,False,0.562199012532327
effectiveness_v3_20260918T130221Z_60c895a2,A/core50_nc/tight/S_star/1/default,S_star,core50_nc,1,7,19.043661659990903,10.301918931712862,0.0,10.301918931712862,False,0.5409631359580552
effectiveness_v3_20260918T130221Z_60c895a2,A/core50_nc/tight/S_star/1/default,S_star,core50_nc,1,8,19.262841443007346,10.69929446207243,0.0,10.69929446207243,False,0.5554369792082989
effectiveness_v3_20260918T130717Z_c1ab5a21,A/core50_nc/tight/O00/1/default,O00,core50_nc,1,0,32.26306085399119,13.843858788459329,0.0,13.843858788459329,False,0.42909316171552075
effectiveness_v3_20260918T130717Z_c1ab5a21,A/core50_nc/tight/O00/1/default,O00,core50_nc,1,1,37.28305354999611,10.779140625149012,0.0,10.779140625149012,False,0.2891163571324521
effectiveness_v3_20260918T130845Z_09b114c7,A/core50_nc/tight/O10/1/default,O10,core50_nc,1,0,33.24147175200051,14.198019081173697,0.0,14.198019081173697,False,0.42711764349962167
effectiveness_v3_20260918T130845Z_09b114c7,A/core50_nc/tight/O10/1/default,O10,core50_nc,1,1,36.957157066004584,10.770008370658616,0.0,10.770008370658616,False,0.291418746074641
effectiveness_v3_20260918T131014Z_b09fde4a,A/core50_nc/tight/O01/1/default,O01,core50_nc,1,0,30.653928601997904,13.017070329544367,0.0,13.017070329544367,False,0.4246460706082536
effectiveness_v3_20260918T131014Z_b09fde4a,A/core50_nc/tight/O01/1/default,O01,core50_nc,1,1,37.87267733400222,10.69045220661792,0.0,10.69045220661792,False,0.28227347415494164
effectiveness_v3_20260918T131141Z_97cbc12a,A/core50_nc/tight/O11/1/default,O11,core50_nc,1,0,32.18226421397412,13.819705568399513,0.0,13.819705568399513,False,0.42941992758852393
effectiveness_v3_20260918T131141Z_97cbc12a,A/core50_nc/tight/O11/1/default,O11,core50_nc,1,1,35.51783727001748,9.710612012655474,0.0,9.710612012655474,False,0.2734009939522057
effectiveness_v3_20260918T131308Z_e7f97314,A/core50_nc/tight/R11/1/default,R11,core50_nc,1,0,30.0982326779922,12.844100102345692,0.0,12.844100102345692,False,0.4267393451223229
effectiveness_v3_20260918T131308Z_e7f97314,A/core50_nc/tight/R11/1/default,R11,core50_nc,1,1,19.608868752984563,10.74095176300034,0.0,10.74095176300034,False,0.5477598885639701
