probe_id,role,dataset,status,run_id,online_total_s,new_batch,replay_capacity,quota_mib
search_tight_core50_nc_b16_r200_q160,static_search_tight,core50_nc,completed,effectiveness_v3_20260918T115513Z_7ae0a419,207.95257099700393,16,200,160
search_tight_core50_nc_b16_r2000_q160,static_search_tight,core50_nc,completed,effectiveness_v3_20260918T115848Z_196762f9,194.25489205901977,16,2000,160
search_tight_core50_nc_b64_r200_q160,static_search_tight,core50_nc,cuda_oom,effectiveness_v3_20260918T120210Z_cdbc2c63,,64,200,160
search_tight_core50_nc_b64_r2000_q160,static_search_tight,core50_nc,cuda_oom,effectiveness_v3_20260918T120218Z_0c37d785,,64,2000,160
search_tight_core50_nc_b256_r200_q160,static_search_tight,core50_nc,cuda_oom,effectiveness_v3_20260918T120226Z_efc0e9fa,,256,200,160
search_tight_core50_nc_b256_r2000_q160,static_search_tight,core50_nc,cuda_oom,effectiveness_v3_20260918T120234Z_fd13f788,,256,2000,160
search_loose_core50_nc_b16_r200_q320,static_search_loose,core50_nc,completed,effectiveness_v3_20260918T120250Z_836b2c9a,201.0686099799932,16,200,320
search_loose_core50_nc_b16_r2000_q320,static_search_loose,core50_nc,completed,effectiveness_v3_20260918T120619Z_eb253037,201.15104517299915,16,2000,320
search_loose_core50_nc_b64_r200_q320,static_search_loose,core50_nc,completed,effectiveness_v3_20260918T120948Z_245119b7,122.62701156400726,64,200,320
search_loose_core50_nc_b64_r2000_q320,static_search_loose,core50_nc,completed,effectiveness_v3_20260918T121158Z_dabdd4bc,122.1223462500202,64,2000,320
search_loose_core50_nc_b256_r200_q320,static_search_loose,core50_nc,cuda_oom,effectiveness_v3_20260918T121407Z_6145c70a,,256,200,320
search_loose_core50_nc_b256_r2000_q320,static_search_loose,core50_nc,cuda_oom,effectiveness_v3_20260918T121416Z_8e66ea82,,256,2000,320
search_tight_splitcifar100_b16_r200_q160,static_search_tight,splitcifar100,completed,effectiveness_v3_20260918T121856Z_e38b9654,75.80365001800237,16,200,160
search_tight_splitcifar100_b16_r2000_q160,static_search_tight,splitcifar100,completed,effectiveness_v3_20260918T122020Z_78102316,74.83715269100503,16,2000,160
search_tight_splitcifar100_b64_r200_q160,static_search_tight,splitcifar100,cuda_oom,effectiveness_v3_20260918T122143Z_e5952c76,,64,200,160
search_tight_splitcifar100_b64_r2000_q160,static_search_tight,splitcifar100,cuda_oom,effectiveness_v3_20260918T122151Z_b5a028ce,,64,2000,160
search_tight_splitcifar100_b256_r200_q160,static_search_tight,splitcifar100,cuda_oom,effectiveness_v3_20260918T122200Z_3dd593e0,,256,200,160
search_tight_splitcifar100_b256_r2000_q160,static_search_tight,splitcifar100,cuda_oom,effectiveness_v3_20260918T122208Z_e404b70f,,256,2000,160
search_loose_splitcifar100_b16_r200_q320,static_search_loose,splitcifar100,completed,effectiveness_v3_20260918T122226Z_5af78732,74.15286019298946,16,200,320
search_loose_splitcifar100_b16_r2000_q320,static_search_loose,splitcifar100,completed,effectiveness_v3_20260918T122348Z_c186b925,75.94540870000492,16,2000,320
search_loose_splitcifar100_b64_r200_q320,static_search_loose,splitcifar100,completed,effectiveness_v3_20260918T122512Z_1c21ccab,36.2343838190136,64,200,320
search_loose_splitcifar100_b64_r2000_q320,static_search_loose,splitcifar100,completed,effectiveness_v3_20260918T122557Z_55af747b,35.33106787397992,64,2000,320
search_loose_splitcifar100_b256_r200_q320,static_search_loose,splitcifar100,cuda_oom,effectiveness_v3_20260918T122641Z_086e81f5,,256,200,320
search_loose_splitcifar100_b256_r2000_q320,static_search_loose,splitcifar100,cuda_oom,effectiveness_v3_20260918T122649Z_6081ccbc,,256,2000,320
